"x1" "x2" "x3" "y"
"111" 6.95 5.76 10 3.79
"112" 5.47 2.64 8.53 6.96
"113" 5.9 3.12 4.68 3.55
"114" 5.91 6.93 8.63 2.43
"115" 10.48 5.92 7.46 9.11
"116" 9.21 2.67 4.6 7.02
"117" 9.92 5.56 7.23 5.68
"118" 8.99 4.88 9.18 4.52
"119" 6.3 4 5.14 7.44
"120" 7.78 3.72 6.24 3.92
"121" 9.3 3.75 7.62 5.87
"122" 9.93 2.61 5.84 2.33
"123" 9.92 2.56 8.47 2.82
"124" 6.2 3.73 7.71 3.04
"125" 8.61 6.51 8.67 9.4
"126" 7.58 7.51 4.08 1.29
"127" 8.83 7.91 4.08 7.6
"128" 7.52 3.67 5.25 4.62
"129" 10.28 4.03 5.1 4.78
"130" 6.92 2.3 4.59 4.78
"131" 6.89 2.52 6.6 4.83
"132" 7.96 4.02 4.55 3.53
"133" 7.03 3.51 6.84 4.88
"134" 6.34 4.18 7.4 3.8
"135" 9.98 6.45 5.84 7.71
"136" 8.23 6.24 5.88 9.68
"137" 5.59 6.68 8.19 2.95
"138" 5.66 4.41 5.87 4.21
"139" 8.44 7.98 7.09 8.04
"140" 8.23 3.99 6.46 4.59
"141" 7.93 2.51 5.09 1.33
"142" 6.92 7.13 6.05 5.97
"143" 9.08 5.14 8.92 10.06
"144" 10.17 7.98 9.12 10.58
"145" 10.08 4.53 6.21 7.32
"146" 6.6 3.37 4.2 3.91
"147" 8.63 2.62 7.23 4.67
"148" 9.99 7.39 4.9 8.61
"149" 8.55 3.52 9.9 5.13
"150" 6.19 4.48 7.56 3.68
"151" 9.64 2.55 7.47 6.24
"152" 5.75 6.87 4.33 5.46
"153" 10.33 5.66 5 9.32
"154" 6.86 5.27 5.57 4.78
"155" 8.9 7.17 6.33 8.72
"156" 6.57 3.73 6.24 4.6
"157" 5.97 2.3 7.39 4.22
"158" 5.63 3.56 4.34 2.39
"159" 7.63 3.94 4.8 4.84
"160" 5.23 5.41 9.12 3.17
"161" 10.75 7.57 4.16 9.26
"162" 8.05 6.66 8.94 9.14
"163" 7.17 2.28 5.91 4.46
"164" 10.28 7.71 8.78 9.03
"165" 9.53 7.64 8.22 8.88
"166" 9.56 5.74 9.81 7.96
"167" 10.34 2.41 5.07 6.15
"168" 6.08 5.18 8.48 5.73
"169" 9.72 2.71 8.52 4.75
"170" 8.28 5.5 7.28 9.56
"171" 7.98 4.16 9.62 6.12
"172" 5.65 3.92 6.81 5.07
"173" 8.52 3.08 7.46 2.88
"174" 10.38 6.87 5.18 9.78
"175" 6.13 6.81 9.73 6.87
"176" 8.18 5.26 7.45 9.12
"177" 9.02 3.87 7.66 5.01
"178" 9.7 2.98 6.69 4.31
"179" 6.13 6.6 5.7 3.01
"180" 8.4 5.36 8.95 7.97
"181" 6.18 3.61 6.62 5.76
"182" 6.84 2.49 8.59 5.77
"183" 5.97 5.81 9.96 5.2
"184" 5.59 5.16 8.53 2.6
"185" 6.55 7.79 9.15 2.84
"186" 7.05 4.26 6.99 1.65
"187" 10.12 7.56 7.8 10.24
"188" 5.74 6.48 5.74 3.44
"189" 7.09 5.96 7.53 7.17
"190" 6.95 6.86 7.91 4.13
"191" 7.83 5.48 7.16 1.33
"192" 10.11 5.12 6.83 8.62
"193" 6.93 7.72 7.72 3.72
"194" 8.35 6.19 7.3 10.27
"195" 9.23 3 9.61 3.56
"196" 7.34 5.57 9.73 4.79
"197" 9.95 6.48 8.39 7.36
"198" 10.44 6.38 9.94 10.1
"199" 7.5 3.74 7.21 6.24
"200" 6.67 3.24 7.78 4.99
"201" 9.39 7.96 4.05 7.98
"202" 10.16 5 9.92 9.65
"203" 7.06 4.28 7.11 5.99
"204" 7.96 4.66 7.97 6.15
"205" 10.12 4.72 7.79 4.92
"206" 7.32 7.13 8.41 3.89
"207" 9.36 7 8.01 11.43
"208" 9.1 3.9 7.85 4.12
"209" 10.07 6.34 7.5 7.78
"210" 5.2 7.38 8.44 4.9
"211" 9.37 2.68 7.26 5.46
"212" 7.86 5.55 8.17 2.4
"213" 8.49 4.29 4.14 2.23
"214" 6.24 4.05 4.03 4.05
"215" 5.17 5.94 9.6 5.24
"216" 10.84 5.4 6.97 8.15
"217" 6.48 2.27 7.83 2.14
"218" 5.72 4.5 4.15 3.75
"219" 9.11 3.43 8.01 3.57
"220" 9.41 7.05 4.45 8.47
"221" 6.93 4.4 8.67 4.17
"222" 9.86 3.13 7.3 5.08
"223" 7.34 2.95 7.95 3.29
"224" 8.58 2.41 5.42 3.68
"225" 7.04 3.07 4.14 6.32
"226" 9.31 5.68 9.85 8.87
"227" 10.68 6.02 4.83 9.75
"228" 5.49 5.79 4.54 2.15
"229" 6.41 4.23 9.14 6.7
"230" 7.18 5.76 9.31 2.26
"231" 6.95 4.35 9.9 2.77
"232" 7.5 6.83 9.58 1.47
"233" 8.03 7.4 5.84 8.48
"234" 8.7 7.97 8.99 10.26
"235" 8.51 5.72 7.95 10.62
"236" 10.4 2.38 4.94 4.76
"237" 8.45 7.39 9.88 8.84
"238" 6.88 3.96 8.5 5.91
"239" 7.88 7.1 6.54 5.84
"240" 8.57 3.35 5.09 1.96
"241" 5.4 6.48 9.49 3.43
"242" 9.41 4.31 7.46 4
"243" 8.86 4.26 5.82 5.97
"244" 5.4 4.82 8.95 3.02
"245" 9.18 6.07 5.42 9.9
"246" 7.1 7.05 4.55 3.41
"247" 6.88 6.1 6.58 6.56
"248" 10.89 7 5.97 8.6
"249" 9.5 7.97 6.06 9.09
"250" 9.23 6.4 7.15 10.11
